Beschouwd Jaar;Beroepsklasse;Leeftijdsklasse;Aantal validen;Verzekerde rente in euro's;Som uitkeringspercentage met ziektedatum in de eerste 9 maanden van jaar t
2015;3;61 tot 65;1005;19074452;1583
2015;4;15 tm 25;2030;46347375;3235
2015;4;26 tm 30;5041;126314784;5803
2015;4;31 tm 35;7142;186077358;9114
2015;4;36 tm 40;9917;262517808;16197
2015;4;41 tm 45;9883;261542351;16424
2015;4;46 tm 50;8306;211446655;17091
2015;4;51 tm 55;5782;140248854;15133
2015;4;56 tm 60;3355;69960645;6971
2015;4;61 tot 65;538;8565588;1068
2015;5;15 tm 25;1955;43178026;2492
2015;5;26 tm 30;4777;116132323;9841
2015;5;31 tm 35;6751;170036506;13114
2015;5;36 tm 40;9155;230539919;16212
2015;5;41 tm 45;8787;218855709;18758
2015;5;46 tm 50;7105;173661290;15492
2015;5;51 tm 55;4782;109942108;11348
2015;5;56 tm 60;2785;57513642;5030
2015;5;61 tot 65;449;7550159;455
2015;6;15 tm 25;884;20210325;470
2015;6;26 tm 30;3098;78385636;3091
2015;6;31 tm 35;6455;182523506;8159
2015;6;36 tm 40;12094;356960428;10750
2015;6;41 tm 45;13237;391951263;17500
2015;6;46 tm 50;11407;335969288;17297
2015;6;51 tm 55;7678;213313272;11189
2015;6;56 tm 60;4242;102221747;7583
2015;6;61 tot 65;826;17478368;1492
2016;1;15 tm 25;281;7405026;303
2016;1;26 tm 30;1694;50907909;1030
2016;1;31 tm 35;4349;151487985;3742
2016;1;36 tm 40;8000;300888985;4061
2016;1;41 tm 45;9109;365838518;8311
2016;1;46 tm 50;8307;354836877;6879
2016;1;51 tm 55;6227;270907709;4512
2016;1;56 tm 60;3609;151889821;3182
2016;1;61 tot 65;770;28271967;1182
2016;2;15 tm 25;431;9970761;280
2016;2;26 tm 30;1548;39962942;1023
2016;2;31 tm 35;3173;89224482;2909
2016;2;36 tm 40;5529;168313692;6902
2016;2;41 tm 45;6741;211999170;5348
2016;2;46 tm 50;5963;192926263;6242
2016;2;51 tm 55;4726;150280653;6018
2016;2;56 tm 60;2762;83270571;4341
2016;2;61 tot 65;521;13578656;1076
2016;3;15 tm 25;1985;42835511;1739
2016;3;26 tm 30;4602;112673149;3667
2016;3;31 tm 35;7791;211113297;7695
2016;3;36 tm 40;13293;373168754;19030
2016;3;41 tm 45;16304;458562726;17500
2016;3;46 tm 50;14923;411201212;19818
2016;3;51 tm 55;11281;298718459;18742
2016;3;56 tm 60;6505;158551462;11136
2016;3;61 tot 65;1036;21183982;1603
2016;4;15 tm 25;1891;43160797;1773
2016;4;26 tm 30;4662;119558017;4803
2016;4;31 tm 35;6736;180097270;9417
2016;4;36 tm 40;9295;253677546;12591
2016;4;41 tm 45;9630;261806514;14939
2016;4;46 tm 50;8313;219832134;13144
2016;4;51 tm 55;6016;152183168;11665
2016;4;56 tm 60;3376;75118071;7227
2016;4;61 tot 65;607;10237834;2492
2016;5;15 tm 25;1723;38793087;2098
2016;5;26 tm 30;4419;109437404;8333
2016;5;31 tm 35;6288;163466818;11977
2016;5;36 tm 40;8641;224141045;16697
2016;5;41 tm 45;8686;224040076;15967
2016;5;46 tm 50;7297;183992574;14758
2016;5;51 tm 55;5000;120620903;10083
2016;5;56 tm 60;2817;61257777;6053
2016;5;61 tot 65;446;8035086;530
2016;6;15 tm 25;814;18310558;1523
2016;6;26 tm 30;2893;75420684;2432
2016;6;31 tm 35;5730;165752344;5939
2016;6;36 tm 40;10726;329107373;11500
2016;6;41 tm 45;12844;397500080;16364
2016;6;46 tm 50;11324;348289416;17742
2016;6;51 tm 55;7799;229687786;12811
2016;6;56 tm 60;4242;108909217;8371
2016;6;61 tot 65;899;19248262;1576
2017;1;15 tm 25;252;6747354;382
2017;1;26 tm 30;1471;45863534;1778
2017;1;31 tm 35;3850;139917104;2125
2017;1;36 tm 40;6913;274607430;4063
2017;1;41 tm 45;8533;358507367;6021
2017;1;46 tm 50;7996;355207131;7035
2017;1;51 tm 55;6047;274374782;6153
2017;1;56 tm 60;3668;157763794;5236
2017;1;61 tot 65;859;31611762;417
2017;2;15 tm 25;335;7676787;743
2017;2;26 tm 30;1305;34566577;2292
2017;2;31 tm 35;2779;80541755;2701
2017;2;36 tm 40;4769;146362993;5625
2017;2;41 tm 45;6451;203896959;6701
2017;2;46 tm 50;5933;193210109;9104
2017;2;51 tm 55;4861;155542632;7611
2017;2;56 tm 60;2938;87713434;5500
2017;2;61 tot 65;647;16043187;1285
2017;3;15 tm 25;1795;38686227;1757
2017;3;26 tm 30;4190;103181851;3622
2017;3;31 tm 35;6984;189914888;7986
2017;3;36 tm 40;11740;334392295;14382
2017;3;41 tm 45;15888;451335228;17599
2017;3;46 tm 50;15248;423975673;21319
2017;3;51 tm 55;11869;317334566;18660
2017;3;56 tm 60;7081;178072402;13483
2017;3;61 tot 65;1224;26809960;2132
2017;4;15 tm 25;1721;39208158;2375
2017;4;26 tm 30;4188;107791499;4396
2017;4;31 tm 35;6347;172758122;5931
2017;4;36 tm 40;8358;231925161;14974
2017;4;41 tm 45;9374;260450738;17053
2017;4;46 tm 50;8610;231742473;15639
2017;4;51 tm 55;6515;167355106;13201
2017;4;56 tm 60;3582;82389356;8979
2017;4;61 tot 65;730;13413748;1444
2017;5;15 tm 25;1347;30700982;2576
2017;5;26 tm 30;3709;93982183;8250
2017;5;31 tm 35;5465;144694157;8493
2017;5;36 tm 40;7401;196531816;14083
2017;5;41 tm 45;8104;213874257;15990
2017;5;46 tm 50;7091;184159028;12521
2017;5;51 tm 55;5089;127652571;11292
2017;5;56 tm 60;2822;64368299;5188
2017;5;61 tot 65;515;10470997;1389
2017;6;15 tm 25;652;14630535;660
2017;6;26 tm 30;2417;64494795;1563
2017;6;31 tm 35;5061;151453889;5736
2017;6;36 tm 40;9313;303694904;10729
2017;6;41 tm 45;12037;404434625;15222
2017;6;46 tm 50;11359;385726209;15271
2017;6;51 tm 55;8752;286978580;12875
2017;6;56 tm 60;5079;153874112;9729
2017;6;61 tot 65;1324;35404532;2715
2018;1;15 tm 25;200;5163944;139
2018;1;26 tm 30;1382;44403868;1292
2018;1;31 tm 35;3770;141832391;3390
2018;1;36 tm 40;6660;272794463;5208
2018;1;41 tm 45;8871;384011285;6174
2018;1;46 tm 50;8343;381940493;5451
2018;1;51 tm 55;6476;308341614;6069
2018;1;56 tm 60;3914;178376412;4681
2018;1;61 tot 65;966;37367309;1597
2018;2;15 tm 25;263;6326957;139
2018;2;26 tm 30;1160;32070105;486
2018;2;31 tm 35;2550;75763180;2340
2018;2;36 tm 40;4318;138004126;4211
2018;2;41 tm 45;6219;203872049;6567
2018;2;46 tm 50;6004;202305422;5285
2018;2;51 tm 55;4950;164845980;6549
2018;2;56 tm 60;2996;92604542;5313
2018;2;61 tot 65;690;17909793;1181
2018;3;15 tm 25;1697;37207069;1167
2018;3;26 tm 30;3994;99630702;2931
2018;3;31 tm 35;6468;178752600;5660
2018;3;36 tm 40;10392;303777196;10851
2018;3;41 tm 45;15303;446271651;18147
2018;3;46 tm 50;15077;431964054;19042
2018;3;51 tm 55;11771;322316313;16826
2018;3;56 tm 60;6784;173685186;12375
2018;3;61 tot 65;1193;26364772;1292
2018;4;15 tm 25;1533;35411588;2197
2018;4;26 tm 30;3833;99804616;5215
2018;4;31 tm 35;6122;168805555;8076
2018;4;36 tm 40;7629;216511262;8921
2018;4;41 tm 45;9149;260478081;15742
2018;4;46 tm 50;8695;242836862;15767
2018;4;51 tm 55;6688;176165908;13771
2018;4;56 tm 60;3748;90398347;9764
2018;4;61 tot 65;746;14397385;2000
2018;5;15 tm 25;1102;25510872;2035
2018;5;26 tm 30;3441;88668955;6449
2018;5;31 tm 35;5271;143368387;10174
2018;5;36 tm 40;6801;187134568;12479
2018;5;41 tm 45;8003;217868126;15365
2018;5;46 tm 50;7503;203173621;12896
2018;5;51 tm 55;5825;155430315;10631
2018;5;56 tm 60;3262;83859959;6951
2018;5;61 tot 65;639;15540944;847
2018;6;15 tm 25;484;10452841;660
2018;6;26 tm 30;2012;53950727;1618
2018;6;31 tm 35;4423;136033943;3694
2018;6;36 tm 40;7322;247663066;7208
2018;6;41 tm 45;10086;356994237;11715
2018;6;46 tm 50;9523;343689555;9139
2018;6;51 tm 55;7402;260180555;10174
2018;6;56 tm 60;4565;149434779;7354
2018;6;61 tot 65;1168;33596291;1632
