Beschouwd Jaar;Beroepsklasse;Leeftijdsklasse;Aantal validen;Verzekerde rente in euro's;Som uitkeringspercentage met ziektedatum in de eerste 9 maanden van jaar t
2006;2;61 tot 65;292;5289028;680
2006;3;15 tm 25;2596;25770041;702
2006;3;26 tm 30;7547;117004160;3837
2006;3;31 tm 35;12112;150329514;9483
2006;3;36 tm 40;13994;168054934;9081
2006;3;41 tm 45;11794;149941306;12784
2006;3;46 tm 50;8961;102036830;19807
2006;3;51 tm 55;11653;122500074;12395
2006;3;56 tm 60;4652;59075573;14431
2006;3;61 tot 65;1176;10822682;879
2006;4;15 tm 25;1813;17508939;1091
2006;4;26 tm 30;5970;81510632;5057
2006;4;31 tm 35;8890;76679833;11009
2006;4;36 tm 40;8174;134294291;9435
2006;4;41 tm 45;7443;67000211;12672
2006;4;46 tm 50;4873;61345051;9402
2006;4;51 tm 55;5287;49780022;12007
2006;4;56 tm 60;2794;22208558;6107
2006;4;61 tot 65;386;4836856;826
2006;5;15 tm 25;1897;28523601;2794
2006;5;26 tm 30;9292;58194556;11889
2006;5;31 tm 35;12193;120570023;10309
2006;5;36 tm 40;6210;112553973;13934
2006;5;41 tm 45;7359;104692167;10190
2006;5;46 tm 50;4959;53118055;10830
2006;5;51 tm 55;4434;63258201;10509
2006;5;56 tm 60;2640;31981154;4828
2006;5;61 tot 65;267;3352035;1298
2006;6;15 tm 25;1423;18459061;366
2006;6;26 tm 30;5244;58436267;2464
2006;6;31 tm 35;12167;136557155;5419
2006;6;36 tm 40;13249;144548022;6332
2006;6;41 tm 45;13711;119086219;5812
2006;6;46 tm 50;7191;86194763;10046
2006;6;51 tm 55;11322;107793222;14123
2006;6;56 tm 60;5872;58051939;9517
2006;6;61 tot 65;1424;13332780;1013
2007;1;15 tm 25;649;4961868;518
2007;1;26 tm 30;3435;61441225;679
2007;1;31 tm 35;6254;153546934;3019
2007;1;36 tm 40;6794;162065010;4292
2007;1;41 tm 45;5460;146636542;5740
2007;1;46 tm 50;6016;96469259;3303
2007;1;51 tm 55;3376;117315370;5780
2007;1;56 tm 60;1195;31387635;2203
2007;1;61 tot 65;319;3975576;0
2007;2;15 tm 25;488;6590037;139
2007;2;26 tm 30;3824;36538255;1889
2007;2;31 tm 35;5013;85805384;6631
2007;2;36 tm 40;5352;86187961;5541
2007;2;41 tm 45;5125;108756351;3558
2007;2;46 tm 50;4420;99670602;6119
2007;2;51 tm 55;3533;112592064;8711
2007;2;56 tm 60;2466;41948349;2424
2007;2;61 tot 65;530;5793601;0
2007;3;15 tm 25;2389;24729078;1861
